period,total_incomplete,within_18_weeks,over_18_weeks,over_52_weeks,over_65_weeks,over_78_weeks,over_104_weeks,median_wait_weeks,new_periods,completed_pathways,unreported_removals,total_removals
2012-03,2413969,2252479,161490,5149,,,,5.21,,1215371,,
2012-04,2480664,2333158,147506,4213,,,,5.48,,1054435,,
2012-05,2556698,2414369,142329,3308,,,,5.29,,1270851,,
2012-06,2635475,2481026,154449,3478,,,,5.71,,1065541,,
2012-07,2681884,2521975,159909,2959,,,,5.47,,1237268,,
2012-08,2636514,2492105,144409,2054,,,,5.85,,1172537,,
2012-09,2641049,2492388,148661,1570,,,,5.80,,1145725,,
2012-10,2636826,2498882,137944,1281,,,,5.31,,1338816,,
2012-11,2590737,2455642,135095,1147,,,,5.40,,1278415,,
2012-12,2565126,2423808,141318,1085,,,,6.08,,1014260,,
2013-01,2537530,2393789,143741,842,,,,6.04,,1271371,,
2013-02,2571993,2425992,146001,663,,,,5.12,,1155696,,
2013-03,2661165,2508128,153037,473,,,,5.50,,1151687,,
2013-04,2748808,2596934,151874,391,,,,5.56,,1134795,,
2013-05,2847373,2699788,147585,434,,,,5.61,,1148205,,
2013-06,2879204,2724755,154449,295,,,,5.68,,1111684,,
2013-07,2906489,2745065,161424,368,,,,5.63,,1241084,,
2013-08,2936981,2767545,169436,350,,,,6.16,,1064689,,
2013-09,2903316,2734352,168964,387,,,,5.95,,1158482,,
2013-10,2912243,2742336,169907,257,,,,5.59,,1268321,,
2013-11,2879129,2705480,173649,214,,,,5.71,,1201937,,
2013-12,2880156,2695700,184456,316,,,,6.28,,1034636,,
2014-01,2905331,2715719,189612,430,,,,6.23,,1248787,,
2014-02,2911205,2719650,191555,539,,,,5.41,,1125899,,
2014-03,2911442,2729396,182046,488,,,,5.46,,1192667,,
2014-04,3020111,2831337,188774,516,,,,5.87,,1146937,,
2014-05,3096929,2903097,193832,572,,,,6.22,,1157776,,
2014-06,3136096,2939344,196752,594,,,,5.78,,1234549,,
2014-07,3070250,2864937,205313,532,,,,5.86,,1267528,,
2014-08,3090525,2878288,212237,490,,,,6.44,,1062016,,
2014-09,2991237,2795366,195871,362,,,,6.20,,1229394,,
2014-10,3005906,2801516,204390,381,,,,5.81,,1263678,,
2014-11,2990258,2790268,199990,362,,,,5.82,,1190553,,
2014-12,2928414,2718870,209544,399,,,,6.55,,1100963,,
2015-01,2924045,2706862,217183,440,,,,6.65,,1196323,,
2015-02,2928213,2725305,202908,442,,,,5.57,,1149978,,
2015-03,3006877,2800845,206032,475,,,,5.56,,1266376,,
2015-04,3022512,2821088,201424,413,,,,5.92,,1139275,,
2015-05,3172627,2965989,206638,634,,,,6.01,,1115489,,
2015-06,3197125,2980377,216748,751,,,,6.02,,1298913,,
2015-07,3260044,3027537,232507,786,,,,5.97,,1286308,,
2015-08,3327055,3080794,246261,739,,,,6.47,,1107934,,
2015-09,3305892,3058504,247388,756,,,,6.52,,1273714,,
2015-10,3313910,3059956,253954,868,,,,6.16,1485369,1270076,207275,1477351
2015-11,3306510,3055104,251406,835,,,,6.06,1450031,1277073,180358,1457431
2015-12,3295912,3026929,268983,758,,,,6.74,1351414,1146366,215646,1362012
2016-01,3291100,3027654,263446,728,,,,6.85,1434066,1213763,225115,1438878
2016-02,3345921,3082332,263589,692,,,,5.85,1505461,1241480,209160,1450640
2016-03,3504595,3205842,298753,871,,,,6.35,1572127,1252822,160631,1413453
2016-04,3603606,3300705,302901,886,,,,6.57,1583739,1242025,242703,1484728
2016-05,3659207,3359901,299306,1009,,,,6.42,1550496,1272141,222754,1494895
2016-06,3627894,3320719,307175,942,,,,6.46,1601725,1335689,297349,1633038
2016-07,3664685,3344181,320504,1077,,,,6.59,1532038,1238259,256988,1495247
2016-08,3691604,3355134,336470,1062,,,,6.96,1532416,1261084,244413,1505497
2016-09,3702580,3354034,348546,1185,,,,6.90,1588655,1324546,253133,1577679
2016-10,3754806,3394756,360050,1428,,,,6.53,1573928,1325951,195751,1521702
2016-11,3721165,3367511,353654,1234,,,,6.47,1657024,1435570,255095,1690665
2016-12,3654268,3278063,376205,1227,,,,7.17,1398622,1172772,292747,1465519
2017-01,3615335,3252604,362731,1345,,,,7.19,1588726,1349270,278389,1627659
2017-02,3663999,3296902,367097,1583,,,,6.20,1532687,1278014,206009,1484023
2017-03,3734833,3372306,362527,1528,,,,6.18,1787232,1456042,260356,1716398
2017-04,3782457,3399969,382488,1568,,,,6.80,1436983,1162826,226533,1389359
2017-05,3811039,3445317,365722,1651,,,,7.10,1666097,1376303,261212,1637515
2017-06,3832987,3459659,373328,1542,,,,6.64,1711834,1384342,305544,1689886
2017-07,3851074,3460415,390659,1642,,,,6.58,1625701,1331972,275642,1607614
2017-08,3886219,3474471,411748,1734,,,,7.07,1612863,1322800,254918,1577718
2017-09,3833300,3415529,417771,1778,,,,7.19,1568564,1305474,316009,1621483
2017-10,3800047,3393766,406281,1519,,,,6.69,1669601,1400048,302806,1702854
2017-11,3722600,3330962,391638,1449,,,,6.61,1644925,1426607,295765,1722372
2017-12,3767326,3321954,445372,1748,,,,7.44,1336987,1125395,166866,1292261
2018-01,3730473,3289620,440853,1869,,,,7.56,1657878,1392937,301794,1694731
2018-02,3763533,3309184,454349,2235,,,,6.59,1522794,1241898,247836,1489734
2018-03,3852414,3361133,491281,2756,,,,6.93,1633324,1279412,265031,1544443
2018-04,4019507,3519434,500073,2880,,,,6.89,1640427,1289720,183614,1473334
2018-05,4089937,3604707,485230,3100,,,,6.88,1746208,1399319,276459,1675778
2018-06,4122380,3620601,501779,3516,,,,7.04,1675427,1363719,279265,1642984
2018-07,4135261,3630924,504337,3464,,,,7.05,1714390,1395273,306236,1701509
2018-08,4163332,3632958,530374,3405,,,,7.54,1634177,1306429,299677,1606106
2018-09,4134701,3584289,550412,3157,,,,7.63,1553736,1292982,289385,1582367
2018-10,4186342,3646101,540241,2815,,,,7.00,1841759,1509418,280700,1790118
2018-11,4154046,3626281,527765,2431,,,,6.91,1757848,1484729,305415,1790144
2018-12,4151589,3595561,556028,2237,,,,7.59,1431137,1189325,244269,1433594
2019-01,4172662,3619513,553149,2169,,,,7.76,1794128,1500753,272302,1773055
2019-02,4144110,3604256,539854,1962,,,,6.69,1638322,1317524,349350,1666874
2019-03,4233414,3670437,562977,1154,,,,6.88,1741493,1401057,251132,1652189
2019-04,4297571,3718168,579403,1047,,,,7.25,1656081,1326224,265700,1591924
2019-05,4385693,3809456,576237,1032,,,,7.73,1755805,1398839,268844,1667683
2019-06,4395246,3794158,601088,1089,,,,7.49,1641179,1353704,277922,1631626
2019-07,4372568,3752114,620454,1032,,,,7.35,1801797,1493426,331049,1824475
2019-08,4407964,3745921,662043,1236,,,,8.02,1577132,1281412,260324,1541736
2019-09,4416883,3744771,672112,1305,,,,7.99,1637851,1369040,259892,1628932
2019-10,4444856,3763231,681625,1321,,,,7.56,1812825,1514306,270546,1784852
2019-11,4413478,3723382,690096,1398,,,,7.66,1656910,1423581,264707,1688288
2019-12,4414911,3693390,721521,1467,,,,8.33,1459872,1219828,238611,1458439
2020-01,4415694,3685428,730266,1643,,,,8.45,1738294,1464782,272729,1737511
2020-02,4423348,3678351,744997,1613,,,,7.52,1600454,1341713,251087,1592800
2020-03,4235970,3375661,860309,3097,,,,8.94,1220636,1186426,221588,1408014
2020-04,3947061,2812999,1134062,11179,,,,12.23,491101,569514,210496,780010
2020-05,3846003,2392303,1453700,26717,,,,15.30,626540,562067,165531,727598
2020-06,3860077,2005831,1854246,50539,,,,17.59,939450,757010,168366,925376
2020-07,4046707,1895264,2151443,83203,,,,19.55,1178528,870091,121807,991898
2020-08,4220115,2260431,1959684,111026,,,,14.76,1114414,823750,117256,941006
2020-09,4354884,2638278,1716606,139545,,,,12.04,1332834,1057911,140154,1198065
2020-10,4448857,2911270,1537587,167067,,,,11.12,1393861,1138710,161178,1299888
2020-11,4460712,3040809,1419903,192169,,,,10.41,1348049,1164352,171842,1336194
2020-12,4521333,3067658,1453675,224205,,,,11.22,1260501,1039182,160698,1199880
2021-01,4592675,3038370,1554305,304044,,,,12.12,1185074,961596,152136,1113732
2021-02,4698348,3030448,1667900,387885,,,,12.59,1253853,971868,176312,1148180
2021-03,4950297,3186952,1763345,436127,,,,11.58,1614201,1233677,128575,1362252
2021-04,5123717,3311746,1811971,385379,196225,64846,2608,11.01,1497830,1159024,165386,1324410
2021-05,5305425,3576159,1729266,336779,232172,79055,3927,10.82,1516276,1198706,135862,1334568
2021-06,5453486,3749231,1704255,304823,233051,85959,5727,10.45,1674642,1338890,187691,1526581
2021-07,5607574,3828136,1779438,293102,199472,102304,7980,10.91,1605526,1262425,189013,1451438
2021-08,5715698,3865241,1850457,292138,176195,121711,9754,11.48,1469370,1139319,221927,1361246
2021-09,5834995,3879621,1955374,301274,163361,123969,12645,11.86,1626494,1293937,213260,1507197
2021-10,5977537,3923337,2054200,312852,158774,106258,16245,12.00,1588347,1283153,162652,1445805
2021-11,6001676,3933682,2067994,307214,148492,87437,18596,11.50,1683913,1420502,239272,1659774
2021-12,6071293,3876780,2194513,310943,155902,80121,20080,12.49,1428240,1169927,188696,1358623
2022-01,6127993,3826817,2301176,317491,163160,77566,24424,13.13,1518507,1250245,211562,1461807
2022-02,6211131,3862282,2348849,306479,156787,69275,22637,13.19,1552698,1267210,202350,1469560
2022-03,6365772,3956489,2409283,310067,144772,63397,16947,12.22,1786268,1439589,192038,1631627
2022-04,6483706,3998468,2485238,323261,141413,63688,12757,12.57,1495453,1173967,203552,1377519
2022-05,6638075,4215948,2422127,333119,136873,59901,8057,12.71,1740851,1388600,197882,1586482
2022-06,6760060,4207211,2552849,357577,142012,54106,3875,13.25,1604839,1301305,181549,1482854
2022-07,6840558,4174730,2665828,377886,148913,51885,2890,13.25,1602408,1278550,243360,1521910
2022-08,7005848,4258985,2746863,387538,156985,50959,2651,13.78,1649719,1334903,149526,1484429
2022-09,7075007,4204505,2870502,401895,165967,50612,2250,13.97,1631921,1363086,199676,1562762
2022-10,6955458,4183750,2771708,384015,157216,46210,1821,13.87,1660239,1379001,400787,1779788
2022-11,6929224,4162017,2767207,379540,147131,45038,1335,13.62,1742711,1517315,251630,1768945
2022-12,7008252,4066601,2941651,381985,154719,51124,1137,14.37,1402495,1201686,121781,1323467
2023-01,7213120,4207644,3005476,379145,144969,45610,1108,14.64,1720218,1479585,35765,1515350
2023-02,7217871,4223233,2994638,362434,122830,29756,1024,14.55,1646172,1399288,242133,1641421
2023-03,7331186,4299276,3031910,359078,94444,10718,511,14.13,1898949,1536762,248872,1785634
2023-04,7415352,4324159,3091193,371111,95135,11477,523,13.79,1520359,1221849,214344,1436193
2023-05,7475194,4446821,3028373,385027,96802,11446,482,14.14,1744188,1456522,227824,1684346
2023-06,7574649,4483361,3091288,383083,97275,7177,314,14.30,1833668,1520285,213928,1734213
2023-07,7674305,4498221,3176084,388505,96023,7079,263,14.07,1752224,1427152,225416,1652568
2023-08,7745784,4494969,3250815,395170,108679,8680,249,14.51,1729570,1422867,235224,1658091
2023-09,7744585,4462623,3281962,390320,108987,10195,227,14.70,1710045,1447696,263548,1711244
2023-10,7703867,4481644,3222223,377315,107291,10508,190,14.59,1778503,1555290,263931,1819221
2023-11,7613842,4435328,3178514,355712,94681,11215,227,14.43,1792086,1626017,256094,1882111
2023-12,7607585,4304249,3303336,338070,98567,13191,283,14.99,1448318,1253705,200870,1454575
2024-01,7575914,4321271,3254643,321394,92213,14013,376,15.04,1808103,1570741,269033,1839774
2024-02,7536907,4338109,3198798,304919,75004,9969,252,14.79,1745503,1476367,308143,1784510
2024-03,7538830,4312728,3226102,309299,48967,4769,232,14.87,1674503,1429572,243008,1672580
2024-04,7570371,4408948,3161423,302589,50397,5013,275,13.91,1757363,1481924,243898,1725822
2024-05,7601650,4491807,3109843,307500,55955,4597,259,14.20,1784578,1516579,236720,1753299
2024-06,7621297,4487082,3134215,302693,58024,2621,120,14.34,1687024,1454572,212805,1667377
2024-07,7623081,4484009,3139072,290326,50860,2738,107,13.98,1855532,1598491,255257,1853748
2024-08,7641774,4452245,3189529,282664,45527,3335,124,14.60,1646244,1404465,223086,1627551
2024-09,7571549,4429902,3141647,249024,22884,2701,113,14.40,1707356,1516823,260758,1777581
2024-10,7541371,4444500,3096871,234914,20939,2449,148,14.23,1899054,1660478,268754,1929232
2024-11,7479867,4424701,3055166,221567,16834,2054,151,14.00,1743388,1557283,247609,1804892
2024-12,7463085,4398544,3064541,200402,15576,2061,155,14.21,1549302,1335075,231009,1566084
2025-01,7427669,4371844,3055825,198828,14966,2003,139,14.44,1822647,1591510,266553,1858063
2025-02,7401153,4379951,3021202,193525,13223,1693,161,14.21,1688412,1458339,256589,1714928
2025-03,7418598,4434722,2983876,180243,7380,1161,147,13.82,1798871,1535984,245442,1781426
2025-04,7389065,4413682,2975383,190023,9244,1361,171,13.26,1707444,1450094,286883,1736977
2025-05,7355950,4482076,2873874,196839,11473,1237,160,13.57,1757217,1500695,289637,1790332
2025-06,7367836,4533070,2834766,191755,10486,1103,182,13.40,1828309,1558632,257791,1816423
2025-07,7299023,4468469,2830554,189416,11863,1417,244,13.10,1913956,1626548,356221,1982769
2025-08,7312356,4458454,2853902,188702,12715,1397,168,13.45,1602010,1384613,204064,1588677
2025-09,7296893,4505684,2791209,178532,12782,1487,150,13.36,1818303,1595960,237806,1833766
2025-10,7304189,4506981,2797208,170759,12502,1714,172,13.31,1901620,1655472,238852,1894324
2025-11,7159010,4412862,2746148,154121,9394,1485,177,12.90,1669006,1502727,311458,1814185
2025-12,7199624,4424207,2775417,138711,7304,1512,223,13.45,1620904,1406401,173889,1580290
2026-01,7155958,4395958,2760000,133860,7417,1614,200,13.62,1767584,1548614,262636,1811250
2026-02,7124952,4456261,2668691,120871,6726,1375,189,13.17,1722325,1497156,256175,1753331
2026-03,7014835,4580320,2434515,92607,4301,1045,154,11.33,1925823,1689985,345955,2035940
2026-04,7093502,4607182,2486320,97388,5692,1136,191,11.90,1763633,1447753,237213,1684966
2026-05,7153655,4689601,2464054,102341,6656,1135,177,12.42,1693449,1401402,231894,1633296
2026-06,7147562,4704942,2442620,103318,7747,1090,173,11.87,1930912,1626487,310518,1937005
