airport,period,scheduled_departures,peak_hour_departures,mean_dep_delay_minutes,cancellation_share,mean_taxi_out,departures_above_p90,departures_above_p95,p90_hourly_departures,p95_hourly_departures,load
BWI,2023-03-01,7591,31.839,15.772,0.01001,13.849,327.0,187.0,23.0,26.0,1.2246
BWI,2023-04-01,7795,29.867,22.413,0.01437,14.378,316.0,136.0,23.0,26.0,1.1487
BWI,2023-05-01,8316,29.484,13.69,0.00349,13.644,339.0,132.0,23.0,26.0,1.134
BWI,2023-06-01,8010,28.6,23.894,0.01648,14.99,206.0,86.0,23.0,26.0,1.1
BWI,2023-07-01,8471,27.29,30.754,0.01794,15.854,260.0,60.0,23.0,26.0,1.0496
BWI,2023-08-01,8507,26.548,19.915,0.0181,14.701,252.0,36.0,23.0,26.0,1.0211
BWI,2023-09-01,8012,27.233,15.325,0.01498,15.211,223.0,100.0,23.0,26.0,1.0474
BWI,2023-10-01,8784,26.806,13.209,0.00285,14.075,221.0,73.0,23.0,26.0,1.031
BWI,2023-11-01,8293,30.433,10.572,0.00096,13.926,282.0,137.0,23.0,26.0,1.1705
BWI,2023-12-01,8418,29.774,15.478,0.00558,14.319,246.0,120.0,23.0,26.0,1.1452
BWI,2024-01-01,7551,26.065,18.252,0.03629,16.616,116.0,46.0,23.0,26.0,1.0025
BWI,2024-02-01,6894,25.517,9.27,0.00261,14.129,99.0,27.0,23.0,26.0,0.9814
BWI,2024-03-01,8076,29.452,18.007,0.00706,14.31,286.0,147.0,23.0,26.0,1.1328
BWI,2024-04-01,8230,27.733,15.785,0.00644,14.643,211.0,72.0,23.0,26.0,1.0667
BWI,2024-05-01,8654,27.484,20.975,0.00601,14.89,204.0,68.0,23.0,26.0,1.0571
BWI,2024-06-01,8779,28.233,20.876,0.01048,15.04,290.0,100.0,23.0,26.0,1.0859
BWI,2024-07-01,9069,27.839,29.239,0.01632,16.431,307.0,94.0,23.0,26.0,1.0707
BWI,2024-08-01,8940,28.323,23.802,0.02584,17.071,319.0,101.0,23.0,26.0,1.0893
BWI,2024-09-01,8273,28.0,10.609,0.00568,14.811,275.0,78.0,23.0,26.0,1.0769
BWI,2024-10-01,8402,28.129,9.722,0.0144,14.308,275.0,88.0,23.0,26.0,1.0819
BWI,2024-11-01,7796,26.333,9.016,0.00128,14.4,152.0,44.0,23.0,26.0,1.0128
BWI,2024-12-01,7908,26.323,15.033,0.00303,14.522,169.0,72.0,23.0,26.0,1.0124
CLT,2023-01-01,15170,59.355,14.7,0.01365,20.502,140.0,39.0,57.0,59.0,1.006
CLT,2023-02-01,14234,61.286,10.401,0.00527,19.736,158.0,64.0,57.0,59.0,1.0387
CLT,2023-03-01,16457,62.065,13.911,0.00687,20.448,300.0,110.0,57.0,59.0,1.0519
CLT,2023-04-01,15674,60.833,17.728,0.00829,20.111,142.0,63.0,57.0,59.0,1.0311
CLT,2023-05-01,16121,58.129,13.769,0.00217,19.822,61.0,3.0,57.0,59.0,0.9852
CLT,2023-06-01,16674,61.633,25.319,0.01751,20.894,263.0,108.0,57.0,59.0,1.0446
CLT,2023-07-01,16976,64.323,29.843,0.02115,21.101,370.0,210.0,57.0,59.0,1.0902
CLT,2023-08-01,17319,60.548,25.309,0.02061,20.359,176.0,58.0,57.0,59.0,1.0262
CLT,2023-09-01,16175,61.733,15.491,0.00958,20.993,270.0,116.0,57.0,59.0,1.0463
CLT,2023-10-01,17372,60.355,10.783,0.00144,20.36,181.0,67.0,57.0,59.0,1.023
CLT,2023-11-01,16708,59.967,10.263,0.00036,19.911,126.0,48.0,57.0,59.0,1.0164
CLT,2023-12-01,16220,56.968,13.105,0.00166,20.309,43.0,16.0,57.0,59.0,0.9656
CLT,2024-01-01,16378,60.258,20.353,0.01838,19.832,146.0,55.0,57.0,59.0,1.0213
CLT,2024-02-01,15768,60.69,10.403,0.00165,20.381,155.0,61.0,57.0,59.0,1.0286
CLT,2024-03-01,17400,61.161,17.182,0.00351,20.724,157.0,76.0,57.0,59.0,1.0366
CLT,2024-04-01,18144,63.533,17.09,0.00485,21.457,470.0,288.0,57.0,59.0,1.0768
CLT,2024-05-01,19203,61.903,29.397,0.01359,22.294,359.0,177.0,57.0,59.0,1.0492
CLT,2024-06-01,18712,64.467,25.199,0.01667,21.349,519.0,334.0,57.0,59.0,1.0927
CLT,2024-07-01,19043,63.935,45.1,0.03686,22.258,462.0,265.0,57.0,59.0,1.0837
CLT,2024-08-01,19150,63.097,26.657,0.03222,21.868,242.0,138.0,57.0,59.0,1.0694
CLT,2024-09-01,18658,65.133,16.983,0.01978,22.369,310.0,201.0,57.0,59.0,1.104
CLT,2024-10-01,19752,69.194,12.505,0.00876,23.049,809.0,583.0,57.0,59.0,1.1728
CLT,2024-11-01,17515,67.267,8.672,0.00046,22.348,375.0,279.0,57.0,59.0,1.1401
CLT,2024-12-01,17832,62.323,17.397,0.00331,21.801,243.0,142.0,57.0,59.0,1.0563
DAL,2023-01-01,5986,15.29,14.038,0.05246,11.968,16.0,2.0,15.0,16.0,0.9556
DAL,2023-02-01,5444,15.857,8.525,0.04849,12.437,31.0,10.0,15.0,16.0,0.9911
DAL,2023-03-01,6188,16.871,13.646,0.01568,12.506,81.0,28.0,15.0,16.0,1.0544
DAL,2023-04-01,5922,16.267,15.357,0.02634,12.61,65.0,13.0,15.0,16.0,1.0167
DAL,2023-05-01,6176,16.645,13.379,0.00648,11.554,80.0,25.0,15.0,16.0,1.0403
DAL,2023-06-01,6256,17.5,23.356,0.01087,12.637,178.0,86.0,15.0,16.0,1.0938
DAL,2023-07-01,6506,17.742,16.742,0.00523,11.897,215.0,128.0,15.0,16.0,1.1089
DAL,2023-08-01,6611,18.0,10.984,0.00908,11.344,221.0,121.0,15.0,16.0,1.125
DAL,2023-09-01,6221,17.333,11.286,0.00402,12.463,145.0,55.0,15.0,16.0,1.0833
DAL,2023-10-01,6591,17.194,11.818,0.00486,12.427,124.0,47.0,15.0,16.0,1.0746
DAL,2023-11-01,6307,17.8,8.96,0.00174,12.054,142.0,61.0,15.0,16.0,1.1125
DAL,2023-12-01,6549,18.0,9.66,0.00351,11.752,147.0,70.0,15.0,16.0,1.125
DAL,2024-01-01,6037,17.032,14.753,0.03528,12.724,86.0,36.0,15.0,16.0,1.0645
DAL,2024-02-01,5522,16.724,8.358,0.00145,11.861,68.0,25.0,15.0,16.0,1.0453
DAL,2024-03-01,6272,17.032,14.787,0.00749,12.776,111.0,45.0,15.0,16.0,1.0645
DAL,2024-04-01,6080,16.933,18.418,0.00954,12.578,113.0,47.0,15.0,16.0,1.0583
DAL,2024-05-01,6207,16.806,28.23,0.03238,13.914,109.0,37.0,15.0,16.0,1.0504
DAL,2024-06-01,6275,17.5,19.48,0.00335,12.49,128.0,54.0,15.0,16.0,1.0938
DAL,2024-07-01,6447,17.548,19.292,0.00791,12.01,134.0,56.0,15.0,16.0,1.0968
DAL,2024-08-01,5891,17.032,11.902,0.00526,13.087,82.0,40.0,15.0,16.0,1.0645
DAL,2024-09-01,5602,16.9,8.724,0.00286,14.722,68.0,34.0,15.0,16.0,1.0562
DAL,2024-10-01,6140,17.355,7.922,0.00603,14.317,111.0,72.0,15.0,16.0,1.0847
DAL,2024-11-01,5973,17.4,10.868,0.00954,13.076,82.0,46.0,15.0,16.0,1.0875
DAL,2024-12-01,6228,17.355,22.824,0.00739,13.057,94.0,53.0,15.0,16.0,1.0847
DCA,2023-01-01,11772,35.677,11.997,0.01699,20.661,206.0,86.0,32.0,34.0,1.0493
DCA,2023-02-01,11082,36.107,9.289,0.0111,20.888,192.0,82.0,32.0,34.0,1.062
DCA,2023-03-01,12338,38.161,10.327,0.00956,22.173,268.0,135.0,32.0,34.0,1.1224
DCA,2023-04-01,11688,38.733,13.999,0.01908,21.47,224.0,143.0,32.0,34.0,1.1392
DCA,2023-05-01,12202,38.323,10.109,0.00303,21.0,235.0,142.0,32.0,34.0,1.1271
DCA,2023-06-01,11455,36.267,19.898,0.02855,21.79,181.0,83.0,32.0,34.0,1.0667
DCA,2023-07-01,11566,35.581,26.414,0.0434,21.921,172.0,58.0,32.0,34.0,1.0465
DCA,2023-08-01,11912,36.484,16.234,0.01998,21.456,200.0,94.0,32.0,34.0,1.0731
DCA,2023-09-01,11513,38.3,15.193,0.02354,21.814,227.0,132.0,32.0,34.0,1.1265
DCA,2023-10-01,12110,38.194,9.037,0.00058,20.339,212.0,140.0,32.0,34.0,1.1233
DCA,2023-11-01,11353,39.3,8.416,0.0015,19.633,304.0,183.0,32.0,34.0,1.1559
DCA,2023-12-01,11014,37.419,12.724,0.0049,19.754,225.0,117.0,32.0,34.0,1.1006
DCA,2024-01-01,11486,36.355,19.666,0.05694,21.912,165.0,77.0,32.0,34.0,1.0693
DCA,2024-02-01,11298,37.483,9.564,0.00398,20.021,216.0,114.0,32.0,34.0,1.1024
DCA,2024-03-01,11970,38.258,13.752,0.00434,20.406,280.0,166.0,32.0,34.0,1.1252
DCA,2024-04-01,11546,38.6,14.939,0.00641,20.418,273.0,150.0,32.0,34.0,1.1353
DCA,2024-05-01,11965,38.258,19.801,0.00836,21.655,312.0,170.0,32.0,34.0,1.1252
DCA,2024-06-01,11457,38.567,18.169,0.01519,20.589,299.0,186.0,32.0,34.0,1.1343
DCA,2024-07-01,11948,39.258,26.534,0.03264,22.099,364.0,250.0,32.0,34.0,1.1546
DCA,2024-08-01,11874,39.419,22.289,0.03807,21.702,302.0,179.0,32.0,34.0,1.1594
DCA,2024-09-01,11546,41.3,10.204,0.00745,21.018,331.0,219.0,32.0,34.0,1.2147
DCA,2024-10-01,12035,41.419,8.833,0.0069,19.983,379.0,268.0,32.0,34.0,1.2182
DCA,2024-11-01,11545,36.133,9.749,0.00147,20.636,216.0,108.0,32.0,34.0,1.0627
DCA,2024-12-01,11346,36.129,18.573,0.00837,20.797,201.0,105.0,32.0,34.0,1.0626
DEN,2023-01-01,22460,73.484,21.65,0.035,21.245,444.0,24.0,66.0,76.0,0.9669
DEN,2023-02-01,20653,76.214,16.839,0.02169,18.175,488.0,32.0,66.0,76.0,1.0028
DEN,2023-03-01,23694,80.452,16.177,0.00785,17.858,738.0,173.0,66.0,76.0,1.0586
DEN,2023-04-01,22735,78.433,17.002,0.01306,17.21,586.0,95.0,66.0,76.0,1.032
DEN,2023-05-01,23997,79.129,19.373,0.01138,16.654,727.0,133.0,66.0,76.0,1.0412
DEN,2023-06-01,24185,78.667,28.556,0.02973,17.081,659.0,128.0,66.0,76.0,1.0351
DEN,2023-07-01,25684,80.581,29.215,0.02648,17.078,781.0,167.0,66.0,76.0,1.0603
DEN,2023-08-01,26308,82.258,18.57,0.01129,17.429,907.0,256.0,66.0,76.0,1.0823
DEN,2023-09-01,24738,85.6,13.897,0.00461,17.109,1126.0,418.0,66.0,76.0,1.1263
DEN,2023-10-01,25543,80.935,13.186,0.00388,18.304,917.0,194.0,66.0,76.0,1.0649
DEN,2023-11-01,23934,77.2,9.719,0.00134,17.327,585.0,56.0,66.0,76.0,1.0158
DEN,2023-12-01,25054,78.065,11.076,0.00379,17.703,565.0,73.0,66.0,76.0,1.0272
DEN,2024-01-01,23361,77.839,18.668,0.04242,17.847,802.0,85.0,66.0,76.0,1.0242
DEN,2024-02-01,21759,78.828,16.089,0.00942,21.265,799.0,108.0,66.0,76.0,1.0372
DEN,2024-03-01,24976,79.677,14.067,0.02082,18.711,841.0,119.0,66.0,76.0,1.0484
DEN,2024-04-01,24657,82.867,14.271,0.00402,18.646,1003.0,236.0,66.0,76.0,1.0904
DEN,2024-05-01,26368,83.097,20.811,0.00804,17.772,1319.0,363.0,66.0,76.0,1.0934
DEN,2024-06-01,27585,88.267,20.442,0.00765,18.445,2023.0,712.0,66.0,76.0,1.1614
DEN,2024-07-01,28401,87.323,20.874,0.01595,17.448,1701.0,591.0,66.0,76.0,1.149
DEN,2024-08-01,27334,87.226,19.149,0.00721,18.64,1820.0,607.0,66.0,76.0,1.1477
DEN,2024-09-01,26146,88.367,10.511,0.00199,17.363,1802.0,690.0,66.0,76.0,1.1627
DEN,2024-10-01,26929,84.419,9.064,0.00401,16.965,1618.0,463.0,66.0,76.0,1.1108
DEN,2024-11-01,25224,83.6,12.37,0.01392,21.347,1272.0,348.0,66.0,76.0,1.1
DEN,2024-12-01,25905,86.097,12.045,0.00332,16.999,1355.0,408.0,66.0,76.0,1.1329
DFW,2023-01-01,20502,75.839,14.299,0.03624,19.406,489.0,127.0,64.0,72.0,1.0533
DFW,2023-02-01,19910,74.107,16.352,0.04395,18.642,341.0,59.0,64.0,72.0,1.0293
DFW,2023-03-01,22583,78.226,21.349,0.02214,18.788,661.0,193.0,64.0,72.0,1.0865
DFW,2023-04-01,22870,72.333,19.061,0.02759,19.339,432.0,33.0,64.0,72.0,1.0046
DFW,2023-05-01,23900,74.613,18.867,0.00958,19.41,534.0,89.0,64.0,72.0,1.0363
DFW,2023-06-01,24996,77.167,27.655,0.01528,21.482,460.0,155.0,64.0,72.0,1.0718
DFW,2023-07-01,26010,75.387,24.621,0.00888,19.483,429.0,105.0,64.0,72.0,1.047
DFW,2023-08-01,26370,79.871,23.262,0.00868,18.881,574.0,247.0,64.0,72.0,1.1093
DFW,2023-09-01,24533,85.833,16.24,0.00624,20.881,1164.0,564.0,64.0,72.0,1.1921
DFW,2023-10-01,25786,87.677,14.885,0.01485,20.248,1404.0,804.0,64.0,72.0,1.2177
DFW,2023-11-01,24070,85.3,10.338,0.00158,20.169,1069.0,571.0,64.0,72.0,1.1847
DFW,2023-12-01,23714,82.097,10.199,0.00084,19.085,912.0,425.0,64.0,72.0,1.1402
DFW,2024-01-01,23570,82.29,23.081,0.02775,20.666,1056.0,527.0,64.0,72.0,1.1429
DFW,2024-02-01,22679,82.655,10.413,0.00101,18.644,1066.0,514.0,64.0,72.0,1.148
DFW,2024-03-01,25567,87.935,22.432,0.01709,19.809,1353.0,658.0,64.0,72.0,1.2213
DFW,2024-04-01,24911,81.267,21.067,0.02256,19.953,1328.0,532.0,64.0,72.0,1.1287
DFW,2024-05-01,27111,84.903,36.912,0.06355,21.654,1667.0,827.0,64.0,72.0,1.1792
DFW,2024-06-01,27690,83.833,28.088,0.01795,19.977,1627.0,611.0,64.0,72.0,1.1644
DFW,2024-07-01,29084,89.0,30.318,0.01791,20.019,1938.0,859.0,64.0,72.0,1.2361
DFW,2024-08-01,27900,91.871,21.24,0.01007,19.13,1970.0,1049.0,64.0,72.0,1.276
DFW,2024-09-01,26198,92.467,12.069,0.0029,20.959,1931.0,1006.0,64.0,72.0,1.2843
DFW,2024-10-01,27861,96.452,11.625,0.00348,19.113,2111.0,1168.0,64.0,72.0,1.3396
DFW,2024-11-01,25197,84.1,15.066,0.01707,19.616,1578.0,701.0,64.0,72.0,1.1681
DFW,2024-12-01,25814,79.742,22.523,0.02076,19.15,1186.0,453.0,64.0,72.0,1.1075
DTW,2023-01-01,9905,36.645,15.338,0.00959,20.609,195.0,8.0,33.0,37.0,0.9904
DTW,2023-02-01,9141,37.75,12.87,0.02254,17.697,170.0,27.0,33.0,37.0,1.0203
DTW,2023-03-01,10889,38.774,14.48,0.0248,18.145,209.0,62.0,33.0,37.0,1.048
DTW,2023-04-01,10389,39.167,12.376,0.01463,16.241,213.0,67.0,33.0,37.0,1.0586
DTW,2023-05-01,10680,36.613,7.528,0.00346,15.28,177.0,10.0,33.0,37.0,0.9895
DTW,2023-06-01,10524,43.567,17.953,0.01606,15.703,407.0,201.0,33.0,37.0,1.1775
DTW,2023-07-01,10999,46.129,20.61,0.01818,16.207,542.0,295.0,33.0,37.0,1.2467
DTW,2023-08-01,11211,48.387,18.908,0.01677,15.721,611.0,365.0,33.0,37.0,1.3078
DTW,2023-09-01,10819,46.067,11.148,0.011,16.068,525.0,285.0,33.0,37.0,1.245
DTW,2023-10-01,11213,44.548,8.317,0.00196,15.343,545.0,247.0,33.0,37.0,1.204
DTW,2023-11-01,10320,43.4,7.242,0.00019,17.726,606.0,257.0,33.0,37.0,1.173
DTW,2023-12-01,9982,41.065,8.95,0.0016,16.522,380.0,137.0,33.0,37.0,1.1099
DTW,2024-01-01,9473,47.548,25.798,0.0342,23.776,915.0,578.0,33.0,37.0,1.2851
DTW,2024-02-01,9097,50.414,7.88,0.00176,17.287,1109.0,750.0,33.0,37.0,1.3625
DTW,2024-03-01,10760,50.935,11.898,0.00251,17.105,1419.0,891.0,33.0,37.0,1.3766
DTW,2024-04-01,10770,44.333,11.58,0.00427,16.937,1034.0,523.0,33.0,37.0,1.1982
DTW,2024-05-01,11294,44.097,15.263,0.00487,17.222,1146.0,641.0,33.0,37.0,1.1918
DTW,2024-06-01,11408,45.3,18.891,0.0064,16.96,846.0,389.0,33.0,37.0,1.2243
DTW,2024-07-01,11751,45.129,23.553,0.0411,16.641,757.0,342.0,33.0,37.0,1.2197
DTW,2024-08-01,11834,46.935,18.369,0.01513,16.431,865.0,424.0,33.0,37.0,1.2685
DTW,2024-09-01,11165,46.067,8.151,0.00278,15.743,648.0,326.0,33.0,37.0,1.245
DTW,2024-10-01,11731,46.194,8.177,0.00469,16.353,806.0,401.0,33.0,37.0,1.2485
DTW,2024-11-01,10986,43.467,8.98,0.001,18.621,700.0,316.0,33.0,37.0,1.1748
DTW,2024-12-01,11098,44.516,17.042,0.00487,20.156,753.0,349.0,33.0,37.0,1.2031
EWR,2023-01-01,11623,31.323,17.789,0.01058,22.526,124.0,57.0,28.0,30.0,1.0441
