airport,year,hour,flights,mean_dep_delay_minutes,mean_taxi_out
BWI,2024,9,6204,10.725,15.079
BWI,2024,10,5618,10.656,13.996
BWI,2024,11,4605,11.573,13.628
BWI,2024,12,4335,12.995,13.459
BWI,2024,13,5176,14.8,13.641
BWI,2024,14,5592,17.502,14.143
BWI,2024,15,5965,20.661,14.606
BWI,2024,16,5368,20.625,14.743
BWI,2024,17,5489,21.681,15.57
BWI,2024,18,6251,23.294,15.618
BWI,2024,19,5351,26.449,15.264
BWI,2024,20,6145,26.369,15.326
BWI,2024,21,5982,31.842,14.639
BWI,2024,22,3223,31.527,13.753
BWI,2024,23,75,40.029,12.543
CLT,2023,0,171,28.222,20.789
CLT,2023,5,765,6.814,15.637
CLT,2023,6,3304,7.142,17.951
CLT,2023,7,13083,8.499,19.258
CLT,2023,8,3081,10.191,17.854
CLT,2023,9,20575,7.693,22.987
CLT,2023,10,4889,11.763,19.341
CLT,2023,11,20902,10.363,21.04
CLT,2023,12,3884,12.874,17.332
CLT,2023,13,15424,12.403,19.619
CLT,2023,14,14306,15.166,19.869
CLT,2023,15,6641,16.729,19.908
CLT,2023,16,17357,18.086,20.991
CLT,2023,17,5689,22.338,20.183
CLT,2023,18,19206,21.622,20.73
CLT,2023,19,4246,25.985,19.337
CLT,2023,20,21059,24.028,21.668
CLT,2023,21,4642,27.585,20.865
CLT,2023,22,15771,31.999,18.192
CLT,2023,23,105,26.27,18.87
CLT,2024,0,85,48.638,20.85
CLT,2024,1,2,41.5,13.0
CLT,2024,5,1050,11.148,16.59
CLT,2024,6,3280,8.51,19.12
CLT,2024,7,15655,8.152,20.819
CLT,2024,8,6221,10.756,17.587
CLT,2024,9,20326,9.908,26.203
CLT,2024,10,5144,12.584,20.547
CLT,2024,11,23045,13.186,23.073
CLT,2024,12,3670,16.302,17.435
CLT,2024,13,16188,15.056,20.487
CLT,2024,14,15487,18.406,20.536
CLT,2024,15,8599,22.953,20.56
CLT,2024,16,17721,22.871,22.643
CLT,2024,17,8361,27.821,22.04
CLT,2024,18,19018,28.377,21.375
CLT,2024,19,7121,31.722,20.568
CLT,2024,20,21198,31.231,22.704
CLT,2024,21,6967,31.461,20.676
CLT,2024,22,17516,35.165,20.313
CLT,2024,23,901,39.186,22.79
DAL,2023,6,6064,3.574,11.76
DAL,2023,7,5214,5.33,12.703
DAL,2023,8,4996,6.06,12.005
DAL,2023,9,4110,6.289,12.342
DAL,2023,10,4743,9.237,12.451
DAL,2023,11,3799,7.897,12.037
DAL,2023,12,4460,9.622,12.56
DAL,2023,13,4392,11.389,12.758
DAL,2023,14,4748,12.765,13.075
DAL,2023,15,4000,15.315,12.775
DAL,2023,16,4287,16.323,12.332
DAL,2023,17,4262,18.182,11.766
DAL,2023,18,4457,20.813,11.789
DAL,2023,19,3925,21.953,11.704
DAL,2023,20,4300,21.635,11.181
DAL,2023,21,3824,21.765,11.187
DAL,2023,22,3176,28.269,11.264
DAL,2024,6,5708,3.972,12.07
DAL,2024,7,4291,5.158,12.928
DAL,2024,8,5016,5.717,12.79
DAL,2024,9,4414,7.88,13.177
DAL,2024,10,4336,10.291,13.418
DAL,2024,11,4738,11.884,13.613
DAL,2024,12,4620,13.87,13.615
DAL,2024,13,4542,16.01,14.022
DAL,2024,14,4851,16.837,14.482
DAL,2024,15,4129,19.136,14.134
DAL,2024,16,4526,20.133,14.036
DAL,2024,17,4251,21.717,13.097
DAL,2024,18,4379,25.132,12.374
DAL,2024,19,4389,26.391,11.988
DAL,2024,20,4048,24.824,11.429
DAL,2024,21,2864,26.432,11.359
DAL,2024,22,1572,27.143,11.788
DCA,2023,5,938,10.9,17.141
DCA,2023,6,9853,7.606,17.374
DCA,2023,7,6739,7.684,18.348
DCA,2023,8,13565,8.709,26.055
DCA,2023,9,5378,11.004,20.862
DCA,2023,10,11401,10.736,23.014
DCA,2023,11,8341,10.599,17.318
DCA,2023,12,6953,11.967,18.615
DCA,2023,13,9493,12.582,21.845
DCA,2023,14,7621,14.304,21.589
DCA,2023,15,10583,16.596,23.874
DCA,2023,16,6307,18.496,19.163
DCA,2023,17,11178,17.957,22.059
DCA,2023,18,7118,20.788,19.668
DCA,2023,19,8328,18.724,20.003
DCA,2023,20,7897,18.12,22.946
DCA,2023,21,1090,11.62,16.56
DCA,2023,22,7208,15.378,19.41
DCA,2023,23,14,3.545,14.091
DCA,2024,5,947,11.735,15.927
DCA,2024,6,9577,7.383,17.367
DCA,2024,7,6580,9.137,19.12
DCA,2024,8,14033,9.844,26.432
DCA,2024,9,4666,12.951,20.588
DCA,2024,10,11181,12.698,22.421
DCA,2024,11,8382,11.919,17.884
DCA,2024,12,7994,11.78,18.71
DCA,2024,13,8636,15.268,20.28
DCA,2024,14,7389,15.049,20.224
DCA,2024,15,10685,18.43,22.662
DCA,2024,16,6080,20.507,18.591
DCA,2024,17,12164,20.998,21.938
DCA,2024,18,6149,22.984,19.247
DCA,2024,19,8933,25.012,20.954
DCA,2024,20,8110,25.067,22.835
DCA,2024,21,1129,19.448,17.178
DCA,2024,22,7381,20.812,20.277
DEN,2023,0,1715,20.71,16.124
DEN,2023,1,155,18.434,13.566
DEN,2023,5,8083,6.756,16.367
DEN,2023,6,12136,6.458,17.859
DEN,2023,7,12227,8.612,17.507
DEN,2023,8,16046,10.179,17.106
DEN,2023,9,18781,11.452,18.426
DEN,2023,10,18807,11.841,19.473
DEN,2023,11,28510,13.597,18.198
DEN,2023,12,11090,15.494,15.223
DEN,2023,13,22325,14.871,16.776
DEN,2023,14,10567,18.321,15.463
DEN,2023,15,16442,19.403,16.788
DEN,2023,16,14578,22.683,16.784
DEN,2023,17,27558,25.187,21.562
DEN,2023,18,11533,28.65,17.961
DEN,2023,19,21964,27.666,18.548
DEN,2023,20,15943,24.863,17.137
DEN,2023,21,10120,24.436,15.78
DEN,2023,22,6964,28.258,14.417
DEN,2023,23,3441,28.23,16.386
DEN,2024,0,1619,26.444,15.61
DEN,2024,1,17,37.824,20.706
DEN,2024,5,6128,6.617,16.391
DEN,2024,6,12704,6.63,18.48
DEN,2024,7,13567,7.077,18.533
DEN,2024,8,17102,8.722,18.124
DEN,2024,9,23276,9.82,19.661
DEN,2024,10,18087,11.688,20.106
DEN,2024,11,30280,12.531,18.934
DEN,2024,12,12647,15.684,15.948
DEN,2024,13,25789,14.22,17.63
DEN,2024,14,11264,19.378,15.44
DEN,2024,15,17286,17.114,16.986
DEN,2024,16,14907,20.643,16.669
DEN,2024,17,28613,19.496,21.347
DEN,2024,18,12160,24.307,18.945
DEN,2024,19,26980,21.703,18.972
DEN,2024,20,17228,21.687,18.1
DEN,2024,21,10462,23.917,17.79
DEN,2024,22,4245,20.52,15.517
DEN,2024,23,4284,20.723,16.855
DFW,2023,0,91,35.011,16.495
DFW,2023,1,1,0.0,16.0
DFW,2023,5,3788,9.941,15.703
DFW,2023,6,4708,10.939,17.205
DFW,2023,7,13095,9.304,19.482
DFW,2023,8,27084,8.437,22.672
DFW,2023,9,9229,12.253,20.278
DFW,2023,10,26984,11.165,21.48
DFW,2023,11,11956,14.51,18.739
DFW,2023,12,23477,13.762,19.509
DFW,2023,13,13136,16.834,17.724
DFW,2023,14,18443,16.908,17.506
DFW,2023,15,11229,21.389,17.372
DFW,2023,16,19797,19.982,18.878
DFW,2023,17,15811,23.604,18.603
DFW,2023,18,18860,23.813,19.607
DFW,2023,19,21011,26.918,21.495
DFW,2023,20,16203,31.501,19.073
DFW,2023,21,15449,24.534,21.159
DFW,2023,22,14393,27.232,18.716
DFW,2023,23,499,46.145,18.493
DFW,2024,0,12,39.083,20.917
DFW,2024,5,4292,10.971,17.121
DFW,2024,6,5324,11.494,17.909
DFW,2024,7,19558,10.591,19.896
DFW,2024,8,31483,11.403,23.284
DFW,2024,9,7619,16.728,19.785
DFW,2024,10,28915,15.719,22.218
DFW,2024,11,12212,19.777,18.423
DFW,2024,12,25345,18.051,19.889
DFW,2024,13,12823,22.629,17.282
DFW,2024,14,21228,21.15,18.025
DFW,2024,15,14806,24.205,18.303
DFW,2024,16,20874,24.122,18.911
DFW,2024,17,16830,26.68,18.728
DFW,2024,18,18483,28.894,18.971
DFW,2024,19,25846,30.185,21.379
DFW,2024,20,17143,29.747,19.052
DFW,2024,21,16902,28.198,20.778
DFW,2024,22,13368,28.438,18.448
DFW,2024,23,519,48.897,17.834
DTW,2023,5,2051,9.759,17.337
DTW,2023,6,4119,8.038,17.859
DTW,2023,7,8624,8.394,18.508
DTW,2023,8,15132,8.357,18.069
DTW,2023,9,3315,10.153,16.321
DTW,2023,10,11947,10.757,17.721
DTW,2023,11,2740,11.161,14.503
DTW,2023,12,11701,10.898,15.686
DTW,2023,13,3731,10.259,14.828
DTW,2023,14,7582,12.336,16.379
DTW,2023,15,7754,14.163,16.455
DTW,2023,16,9954,15.979,15.947
DTW,2023,17,4273,19.73,15.678
DTW,2023,18,4892,19.652,16.575
DTW,2023,19,5098,19.953,15.793
DTW,2023,20,8297,17.432,15.775
DTW,2023,21,11551,14.204,17.461
DTW,2023,22,2278,21.971,15.393
DTW,2023,23,1033,25.176,14.747
DTW,2024,5,2022,7.782,17.382
DTW,2024,6,4293,8.985,17.436
DTW,2024,7,8521,8.302,18.946
DTW,2024,8,15417,8.709,19.442
DTW,2024,9,2639,11.717,17.05
DTW,2024,10,14324,12.542,18.856
DTW,2024,11,2527,12.582,15.57
DTW,2024,12,11854,12.037,16.503
DTW,2024,13,3653,14.635,15.092
DTW,2024,14,4843,15.07,16.619
DTW,2024,15,8733,15.056,16.973
DTW,2024,16,13843,16.39,17.882
DTW,2024,17,5004,24.681,16.699
DTW,2024,18,5559,21.834,16.683
DTW,2024,19,3788,20.389,16.705
DTW,2024,20,8180,18.748,16.982
DTW,2024,21,14316,18.475,18.329
DTW,2024,22,1687,25.427,15.168
DTW,2024,23,164,40.237,14.431
EWR,2023,5,1889,11.862,18.327
EWR,2023,6,10511,8.706,20.331
EWR,2023,7,10635,9.122,22.551
EWR,2023,8,7948,11.747,26.658
EWR,2023,9,9136,10.924,25.62
EWR,2023,10,8731,11.859,23.877
EWR,2023,11,7680,12.476,20.428
EWR,2023,12,4607,15.043,18.575
EWR,2023,13,7259,16.884,20.125
EWR,2023,14,7937,20.322,21.983
EWR,2023,15,9248,21.504,23.777
EWR,2023,16,8668,22.246,23.593
EWR,2023,17,8177,24.552,25.918
EWR,2023,18,9485,24.968,27.76
EWR,2023,19,8968,29.236,27.328
EWR,2023,20,8786,27.899,26.968
EWR,2023,21,7090,27.578,24.206
EWR,2023,22,1807,35.732,20.453
EWR,2023,23,16,21.75,19.062
EWR,2024,5,2171,11.396,17.633
EWR,2024,6,9739,7.907,20.221
EWR,2024,7,10782,8.721,22.435
EWR,2024,8,7968,10.582,26.012
EWR,2024,9,8857,10.782,25.818
EWR,2024,10,7472,11.901,23.464
EWR,2024,11,6230,12.344,20.837
EWR,2024,12,5460,14.73,18.873
EWR,2024,13,6140,15.045,19.315
EWR,2024,14,7970,18.647,21.608
EWR,2024,15,7474,19.623,23.107
EWR,2024,16,8649,21.219,24.082
EWR,2024,17,8434,25.353,27.167
EWR,2024,18,8160,26.309,29.829
EWR,2024,19,8652,28.97,30.627
EWR,2024,20,7362,28.428,29.712
EWR,2024,21,6334,25.965,26.008
EWR,2024,22,1076,33.957,20.147
EWR,2024,23,49,24.978,15.5
FLL,2023,5,1842,8.953,14.959
FLL,2023,6,5978,8.69,15.274
FLL,2023,7,8565,9.728,16.098
FLL,2023,8,5327,10.914,16.209
FLL,2023,9,4293,16.467,16.976
FLL,2023,10,3635,15.685,17.387
FLL,2023,11,4996,16.221,18.224
FLL,2023,12,4419,22.502,18.737
FLL,2023,13,4627,23.652,18.569
FLL,2023,14,4615,30.368,18.878
FLL,2023,15,5679,30.437,20.138
FLL,2023,16,4626,31.64,19.929
FLL,2023,17,5203,35.654,19.656
FLL,2023,18,7091,33.322,19.943
FLL,2023,19,7275,36.186,18.85
FLL,2023,20,6656,41.952,16.878
FLL,2023,21,3631,40.24,15.993
FLL,2023,22,1150,42.004,15.675
FLL,2023,23,227,31.934,14.805
FLL,2024,5,1197,6.726,14.204
FLL,2024,6,7271,5.777,14.955
FLL,2024,7,9040,8.05,16.671
FLL,2024,8,6301,9.765,16.405
FLL,2024,9,3878,11.554,17.701
FLL,2024,10,4328,12.971,18.287
FLL,2024,11,4664,15.12,18.958
FLL,2024,12,4494,19.232,18.985
FLL,2024,13,4798,22.919,18.571
FLL,2024,14,4944,24.071,18.337
FLL,2024,15,5326,25.773,18.465
FLL,2024,16,5321,27.694,18.863
FLL,2024,17,4958,28.399,18.725
FLL,2024,18,6695,28.312,18.715
FLL,2024,19,6544,30.169,17.963
FLL,2024,20,7155,26.572,17.12
FLL,2024,21,3459,34.952,15.732
FLL,2024,22,1256,32.029,15.21
FLL,2024,23,261,22.427,15.569
IAH,2023,0,2,9.0,14.5
IAH,2023,5,2975,7.148,14.844
IAH,2023,6,4358,11.386,14.56
IAH,2023,7,9646,8.216,18.022
IAH,2023,8,2954,11.58,17.461
IAH,2023,9,10154,12.953,20.925
IAH,2023,10,5255,13.708,21.627
IAH,2023,11,5164,15.805,17.181
IAH,2023,12,10244,15.452,18.966
IAH,2023,13,2327,22.931,15.181
IAH,2023,14,9841,18.593,19.55
IAH,2023,15,2229,22.2,16.006
IAH,2023,16,7787,20.006,19.847
IAH,2023,17,2597,23.97,17.43
IAH,2023,18,14894,23.309,21.004
IAH,2023,19,7582,26.541,18.93
IAH,2023,20,10011,24.471,21.25
IAH,2023,21,3139,23.787,16.334
IAH,2023,22,635,21.939,15.629
IAH,2023,23,98,21.041,15.99
IAH,2024,0,6,9.833,20.0
IAH,2024,5,3328,9.506,14.989
IAH,2024,6,4679,10.191,15.262
IAH,2024,7,10250,9.769,20.066
IAH,2024,8,3294,13.212,18.273
IAH,2024,9,9172,14.59,21.269
IAH,2024,10,4973,17.671,21.821
IAH,2024,11,4682,18.87,18.327
IAH,2024,12,11689,18.572,21.361
IAH,2024,13,2589,25.775,16.801
IAH,2024,14,10398,23.002,19.878
IAH,2024,15,2463,27.184,17.097
IAH,2024,16,8473,22.511,19.964
IAH,2024,17,3227,27.634,17.517
IAH,2024,18,14859,26.446,21.181
IAH,2024,19,5608,29.915,19.281
IAH,2024,20,11112,25.82,20.932
IAH,2024,21,3308,26.345,16.757
IAH,2024,22,1613,21.846,16.527
IAH,2024,23,217,21.531,16.122
JFK,2023,5,873,9.618,18.13
JFK,2023,6,6705,7.894,20.192
JFK,2023,7,9151,9.367,23.982
JFK,2023,8,10717,11.468,26.39
JFK,2023,9,11114,13.144,24.49
JFK,2023,10,5428,15.145,22.292
JFK,2023,11,7582,11.69,22.413
JFK,2023,12,6356,14.423,22.624
JFK,2023,13,6854,18.844,24.425
JFK,2023,14,8271,18.704,26.922
JFK,2023,15,9896,20.839,26.899
JFK,2023,16,7668,19.867,27.612
JFK,2023,17,8591,25.888,28.081
JFK,2023,18,6768,25.98,30.427
JFK,2023,19,8503,28.924,31.768
JFK,2023,20,7107,31.204,30.392
JFK,2023,21,6801,29.089,29.411
JFK,2023,22,4425,27.262,28.516
JFK,2023,23,238,34.16,21.231
JFK,2024,5,914,9.469,19.202
JFK,2024,6,6721,7.95,20.566
JFK,2024,7,9313,8.656,24.113
JFK,2024,8,11093,10.727,26.647
JFK,2024,9,9709,10.376,26.449
JFK,2024,10,4201,12.1,22.238
JFK,2024,11,7617,12.173,22.649
JFK,2024,12,6110,13.012,21.491
JFK,2024,13,6151,16.84,24.342
JFK,2024,14,7590,18.354,26.149
JFK,2024,15,9180,17.8,26.713
JFK,2024,16,7318,16.452,28.436
JFK,2024,17,7680,21.791,28.908
JFK,2024,18,6616,24.608,30.46
JFK,2024,19,7312,25.37,32.468
JFK,2024,20,6275,24.539,29.672
JFK,2024,21,5935,22.978,28.729
JFK,2024,22,3325,23.361,27.585
JFK,2024,23,288,12.894,25.128
LAS,2023,0,2349,17.685,14.532
LAS,2023,1,659,28.243,12.997
LAS,2023,2,6,22.333,15.167
LAS,2023,5,6231,4.78,13.166
LAS,2023,6,13244,5.809,17.242
LAS,2023,7,11168,8.531,17.044
LAS,2023,8,11150,10.891,17.029
LAS,2023,9,12779,10.199,18.459
LAS,2023,10,10989,11.305,20.423
LAS,2023,11,11675,15.114,20.942
LAS,2023,12,10375,17.662,21.663
LAS,2023,13,11763,20.697,22.706
LAS,2023,14,9480,22.653,21.693
LAS,2023,15,10718,25.477,20.426
LAS,2023,16,11254,24.663,20.195
LAS,2023,17,10215,24.712,18.714
LAS,2023,18,9451,25.801,17.126
LAS,2023,19,8261,24.207,16.882
LAS,2023,20,7131,22.946,15.17
LAS,2023,21,8123,23.221,15.035
LAS,2023,22,6851,23.477,15.265
LAS,2023,23,7005,20.893,15.759
LAS,2024,0,2866,16.305,14.43
LAS,2024,1,687,13.006,13.707
LAS,2024,5,4809,3.783,13.161
LAS,2024,6,13791,5.263,17.291
LAS,2024,7,11809,8.733,17.486
LAS,2024,8,12015,10.306,17.291
LAS,2024,9,13564,9.637,18.128
LAS,2024,10,11673,11.858,19.812
LAS,2024,11,11106,13.662,20.191
LAS,2024,12,10783,16.13,19.868
LAS,2024,13,11282,17.775,19.649
LAS,2024,14,9532,20.858,19.265
LAS,2024,15,10094,20.37,19.657
LAS,2024,16,10380,21.641,18.805
LAS,2024,17,11103,23.175,18.139
LAS,2024,18,9568,23.835,17.161
LAS,2024,19,8672,22.075,16.81
LAS,2024,20,7290,21.221,16.332
LAS,2024,21,5803,21.741,15.337
LAS,2024,22,5376,16.711,16.032
LAS,2024,23,7049,17.871,16.024
LAX,2023,0,1393,17.97,17.019
LAX,2023,1,421,23.639,15.518
LAX,2023,5,4867,3.805,16.652
LAX,2023,6,9803,7.3,17.719
LAX,2023,7,12066,7.844,17.342
LAX,2023,8,19233,9.554,20.484
LAX,2023,9,14138,12.659,18.64
LAX,2023,10,13821,13.216,18.881
LAX,2023,11,10433,15.353,17.53
LAX,2023,12,9551,14.829,17.233
LAX,2023,13,11219,14.903,17.501
LAX,2023,14,9017,15.74,16.152
LAX,2023,15,8396,15.432,15.765
LAX,2023,16,9904,16.774,16.458
LAX,2023,17,9844,15.963,16.602
LAX,2023,18,10457,18.677,16.445
LAX,2023,19,10218,16.099,17.555
LAX,2023,20,5493,20.113,15.613
LAX,2023,21,7848,17.653,16.068
LAX,2023,22,8820,18.511,17.845
LAX,2023,23,7411,19.821,18.977
LAX,2024,0,1702,15.038,16.96
LAX,2024,1,335,31.697,14.57
LAX,2024,5,4041,3.937,15.453
LAX,2024,6,10742,5.792,17.859
LAX,2024,7,11558,8.525,18.159
LAX,2024,8,18527,10.113,21.631
LAX,2024,9,16040,12.927,19.783
LAX,2024,10,12856,12.989,19.837
LAX,2024,11,10436,14.581,18.042
LAX,2024,12,9523,15.263,17.954
LAX,2024,13,11809,16.154,18.579
LAX,2024,14,9349,15.728,17.701
LAX,2024,15,8987,15.178,16.401
LAX,2024,16,9289,16.409,18.446
LAX,2024,17,9269,16.572,17.775
LAX,2024,18,9393,16.555,17.215
LAX,2024,19,10570,16.316,19.108
LAX,2024,20,5445,16.468,18.222
LAX,2024,21,8465,15.188,18.982
LAX,2024,22,8487,15.264,18.542
LAX,2024,23,7230,14.357,19.759
LGA,2023,5,508,5.38,17.996
LGA,2023,6,11748,6.714,19.87
LGA,2023,7,10199,8.276,22.752
LGA,2023,8,10478,7.718,22.3
LGA,2023,9,11379,9.605,24.097
LGA,2023,10,9626,10.019,23.575
LGA,2023,11,10786,11.5,23.383
LGA,2023,12,10385,12.728,22.659
LGA,2023,13,10166,14.907,22.31
LGA,2023,14,10467,17.293,24.013
LGA,2023,15,10138,16.932,25.375
LGA,2023,16,10255,18.858,24.447
LGA,2023,17,10966,22.275,24.953
LGA,2023,18,9818,20.755,24.998
LGA,2023,19,10177,22.275,25.893
LGA,2023,20,8652,21.098,26.814
LGA,2023,21,6900,18.488,21.581
LGA,2023,22,1051,30.52,17.385
LGA,2023,23,27,40.333,17.75
LGA,2024,5,503,7.901,16.885
LGA,2024,6,11389,5.944,19.247
LGA,2024,7,10256,7.527,22.515
LGA,2024,8,11116,9.864,22.726
LGA,2024,9,12028,10.483,24.422
LGA,2024,10,9668,11.455,22.705
LGA,2024,11,9863,11.516,22.42
LGA,2024,12,10390,12.724,21.207
LGA,2024,13,9474,14.295,22.09
LGA,2024,14,10423,15.574,23.968
LGA,2024,15,10590,16.787,26.108
LGA,2024,16,9536,19.7,25.13
LGA,2024,17,10427,20.025,25.411
LGA,2024,18,10178,21.501,24.706
LGA,2024,19,10077,23.439,25.359
LGA,2024,20,9064,22.067,26.619
LGA,2024,21,6242,18.852,21.748
LGA,2024,22,1147,34.51,17.659
