airport,year,load_bin_low,flights,mean_taxi_out,mean_dep_delay_minutes,cancellation_share
AUS,2023,1.1,3156,15.416,13.347,0.00665
AUS,2023,1.2,52,14.25,10.577,0.0
AUS,2024,0.0,134,13.579,21.692,0.00746
AUS,2024,0.1,485,15.555,24.89,0.00825
AUS,2024,0.2,1576,13.973,15.435,0.01142
AUS,2024,0.3,1428,13.939,14.5,0.01401
AUS,2024,0.4,7383,14.241,16.479,0.00975
AUS,2024,0.5,9472,14.558,14.932,0.00961
AUS,2024,0.6,15438,14.861,17.109,0.00952
AUS,2024,0.7,8895,14.956,15.713,0.00731
AUS,2024,0.8,23465,15.195,18.579,0.01053
AUS,2024,0.9,10221,15.59,19.235,0.01027
AUS,2024,1.0,3759,15.992,18.955,0.0149
AUS,2024,1.1,3088,17.023,23.11,0.01133
BNA,2023,0.0,97,13.83,22.383,0.03093
BNA,2023,0.1,361,12.155,17.094,0.0
BNA,2023,0.2,552,13.436,17.21,0.00725
BNA,2023,0.3,4101,13.973,16.641,0.01341
BNA,2023,0.4,7723,14.24,14.77,0.01644
BNA,2023,0.5,12822,14.587,15.921,0.0092
BNA,2023,0.6,23697,15.145,16.158,0.01279
BNA,2023,0.7,13040,15.708,15.02,0.01104
BNA,2023,0.8,10252,16.019,13.503,0.00917
BNA,2023,0.9,15093,16.285,12.256,0.01272
BNA,2023,1.0,4309,16.225,11.234,0.01346
BNA,2023,1.1,2486,16.573,10.089,0.00684
BNA,2023,1.2,1652,16.4,10.818,0.0109
BNA,2023,1.3,304,16.507,7.408,0.0
BNA,2024,0.0,224,12.882,24.386,0.01786
BNA,2024,0.1,156,14.234,18.812,0.01282
BNA,2024,0.2,711,14.118,12.571,0.00985
BNA,2024,0.3,3620,14.988,17.212,0.01934
BNA,2024,0.4,5173,14.25,14.376,0.01373
BNA,2024,0.5,9644,15.06,15.191,0.01389
BNA,2024,0.6,20793,15.082,15.653,0.0125
BNA,2024,0.7,17438,15.438,15.345,0.00981
BNA,2024,0.8,13908,15.799,14.842,0.01352
BNA,2024,0.9,16282,16.31,13.618,0.01345
BNA,2024,1.0,6013,16.155,15.33,0.01081
BNA,2024,1.1,3984,16.449,12.41,0.01581
BNA,2024,1.2,1670,16.87,10.273,0.00958
BNA,2024,1.3,439,17.97,8.516,0.00683
BNA,2024,1.4,165,16.321,5.83,0.0
BOS,2023,0.0,581,17.0,24.965,0.02754
BOS,2023,0.1,1230,17.773,24.111,0.0439
BOS,2023,0.2,3028,16.65,19.418,0.0175
BOS,2023,0.3,4162,16.765,16.75,0.01562
BOS,2023,0.4,10848,18.399,16.217,0.01881
BOS,2023,0.5,25063,19.089,17.812,0.01791
BOS,2023,0.6,23992,19.857,19.28,0.01926
BOS,2023,0.7,22403,21.685,23.424,0.02593
BOS,2023,0.8,20299,21.77,20.137,0.01434
BOS,2023,0.9,12223,21.085,13.452,0.01415
BOS,2023,1.0,6952,21.802,11.621,0.01036
BOS,2023,1.1,7367,21.206,8.588,0.00896
BOS,2023,1.2,2277,23.044,13.37,0.02108
BOS,2023,1.3,92,34.12,19.957,0.0
BOS,2024,0.0,602,15.326,27.854,0.05648
BOS,2024,0.1,864,16.784,29.56,0.04167
BOS,2024,0.2,2203,16.799,16.434,0.01362
BOS,2024,0.3,4751,17.651,11.212,0.012
BOS,2024,0.4,9958,17.641,13.75,0.01215
BOS,2024,0.5,21198,18.931,14.888,0.01288
BOS,2024,0.6,22289,19.861,17.518,0.01516
BOS,2024,0.7,22540,21.605,19.467,0.01539
BOS,2024,0.8,24303,22.242,20.764,0.01872
BOS,2024,0.9,11562,21.98,11.809,0.01003
BOS,2024,1.0,8921,21.856,8.888,0.00583
BOS,2024,1.1,10784,22.006,8.727,0.01604
BOS,2024,1.2,2632,21.936,7.1,0.01292
BOS,2024,1.3,883,21.736,11.94,0.01699
BWI,2023,0.0,561,12.815,16.031,0.01783
BWI,2023,0.1,1027,12.907,15.248,0.01558
BWI,2023,0.2,1684,13.368,13.728,0.00713
BWI,2023,0.3,8357,13.55,17.595,0.00802
BWI,2023,0.4,15166,13.847,17.309,0.01121
BWI,2023,0.5,10977,14.014,21.119,0.01239
BWI,2023,0.6,15902,14.036,20.929,0.01226
BWI,2023,0.7,8611,14.367,20.317,0.01126
BWI,2023,0.8,12620,14.588,17.319,0.0088
BWI,2023,0.9,12319,14.819,14.246,0.01128
BWI,2023,1.0,3027,16.424,7.848,0.00496
BWI,2023,1.1,4721,15.963,7.76,0.00847
BWI,2023,1.2,65,18.078,3.0,0.01538
BWI,2023,1.3,1197,17.106,6.83,0.01086
BWI,2023,1.4,37,16.162,6.973,0.0
BWI,2024,0.0,548,13.356,14.169,0.02007
BWI,2024,0.1,910,13.288,13.416,0.01209
BWI,2024,0.2,931,14.139,18.262,0.01182
BWI,2024,0.3,5800,14.119,13.777,0.00948
BWI,2024,0.4,13553,14.117,15.772,0.01144
BWI,2024,0.5,14726,14.415,17.883,0.01182
BWI,2024,0.6,22184,14.647,19.121,0.00992
BWI,2024,0.7,9125,15.124,21.14,0.01753
BWI,2024,0.8,12015,15.501,20.034,0.0104
BWI,2024,0.9,7807,16.38,13.622,0.01153
BWI,2024,1.0,6364,17.352,13.378,0.011
BWI,2024,1.1,3893,18.673,7.383,0.00976
BWI,2024,1.2,614,17.31,5.804,0.0114
BWI,2024,1.3,102,15.922,2.471,0.0
CLT,2023,0.0,1424,15.676,13.481,0.01475
CLT,2023,0.1,12057,18.359,15.296,0.01294
CLT,2023,0.2,17009,19.264,18.066,0.01223
CLT,2023,0.3,7407,20.287,18.001,0.01242
CLT,2023,0.4,1507,18.965,13.74,0.00398
CLT,2023,0.5,4715,18.855,11.742,0.00085
CLT,2023,0.6,13792,19.448,13.308,0.00754
CLT,2023,0.7,24886,20.088,14.293,0.00567
CLT,2023,0.8,36023,20.499,17.858,0.00838
CLT,2023,0.9,52663,21.352,17.358,0.01018
CLT,2023,1.0,21777,21.383,18.65,0.00918
CLT,2023,1.1,1840,22.569,31.348,0.00598
CLT,2024,0.0,1661,16.92,19.375,0.02529
CLT,2024,0.1,8706,18.7,12.701,0.01126
CLT,2024,0.2,8993,19.437,17.235,0.01001
CLT,2024,0.3,17681,20.084,22.898,0.01572
CLT,2024,0.4,13729,21.536,30.451,0.0201
CLT,2024,0.5,3621,19.529,16.587,0.0069
CLT,2024,0.6,11338,19.813,20.232,0.01226
CLT,2024,0.7,29109,20.792,16.24,0.00787
CLT,2024,0.8,35338,22.205,20.198,0.01316
CLT,2024,0.9,48849,22.86,21.581,0.0155
CLT,2024,1.0,27948,23.172,24.18,0.01646
CLT,2024,1.1,9222,23.758,19.552,0.0116
CLT,2024,1.2,1360,24.928,9.628,0.00809
DAL,2023,0.0,7,11.571,20.429,0.0
DAL,2023,0.1,202,9.797,14.421,0.0
DAL,2023,0.2,64,10.125,15.078,0.0
DAL,2023,0.3,981,11.06,13.42,0.01733
DAL,2023,0.4,3152,11.278,15.162,0.01681
DAL,2023,0.5,4356,11.808,15.161,0.01423
DAL,2023,0.6,12883,11.889,14.613,0.0156
DAL,2023,0.7,8928,11.799,15.302,0.01669
DAL,2023,0.8,20974,12.341,13.187,0.01921
DAL,2023,0.9,16068,12.532,12.384,0.01263
DAL,2023,1.0,2907,12.157,5.634,0.00378
DAL,2023,1.1,4235,12.261,8.672,0.0059
DAL,2024,0.0,67,10.612,11.821,0.0
DAL,2024,0.1,126,9.893,24.238,0.03175
DAL,2024,0.2,4,8.25,23.25,0.0
DAL,2024,0.3,379,12.202,28.354,0.00792
DAL,2024,0.4,2148,11.732,16.832,0.01397
DAL,2024,0.5,3510,12.748,15.276,0.00655
DAL,2024,0.6,15777,12.976,16.205,0.01217
DAL,2024,0.7,10968,13.184,17.909,0.00857
DAL,2024,0.8,21454,13.145,16.588,0.01011
DAL,2024,0.9,11632,13.336,14.388,0.01212
DAL,2024,1.0,3621,12.734,10.413,0.01823
DAL,2024,1.1,2988,12.973,5.589,0.00535
DCA,2023,0.0,1563,16.908,10.822,0.02431
DCA,2023,0.1,613,16.292,14.579,0.02773
DCA,2023,0.2,684,18.355,21.378,0.02047
DCA,2023,0.3,1797,16.901,17.579,0.02282
DCA,2023,0.4,13415,19.171,13.867,0.01297
DCA,2023,0.5,14425,19.482,14.022,0.01525
DCA,2023,0.6,24442,19.77,14.721,0.02185
DCA,2023,0.7,30038,20.352,14.559,0.01601
DCA,2023,0.8,17316,21.533,11.666,0.00797
DCA,2023,0.9,20411,23.236,13.974,0.01573
DCA,2023,1.0,8058,23.999,12.058,0.01042
DCA,2023,1.1,6504,27.69,7.768,0.00815
DCA,2023,1.2,739,23.794,7.662,0.00271
DCA,2024,0.0,1348,16.135,12.059,0.01335
DCA,2024,0.1,869,17.192,20.936,0.03452
DCA,2024,0.2,663,17.426,13.405,0.00905
DCA,2024,0.3,3793,19.536,15.601,0.01318
DCA,2024,0.4,12731,18.797,17.091,0.01233
DCA,2024,0.5,14724,18.929,14.842,0.01114
DCA,2024,0.6,20398,19.669,15.347,0.02157
DCA,2024,0.7,32997,20.495,18.21,0.01873
DCA,2024,0.8,13906,20.59,14.469,0.01079
DCA,2024,0.9,19663,22.604,16.401,0.01653
DCA,2024,1.0,8726,23.175,14.817,0.00882
DCA,2024,1.1,5750,27.187,15.625,0.02052
DCA,2024,1.2,4448,27.797,9.346,0.01551
DEN,2023,0.0,2595,16.166,20.169,0.01696
DEN,2023,0.1,5074,16.103,24.251,0.02089
DEN,2023,0.2,5871,17.128,11.593,0.01686
DEN,2023,0.3,34896,16.36,18.526,0.01696
DEN,2023,0.4,39712,16.671,16.991,0.01403
DEN,2023,0.5,42195,17.182,16.273,0.01239
DEN,2023,0.6,43243,17.625,18.862,0.01464
DEN,2023,0.7,35473,18.193,17.287,0.01398
DEN,2023,0.8,18173,18.21,18.789,0.01062
DEN,2023,0.9,30440,19.259,18.112,0.01248
DEN,2023,1.0,26109,19.701,19.394,0.01367
DEN,2023,1.1,5204,19.758,18.05,0.00884
DEN,2024,0.0,3215,16.013,20.516,0.01244
DEN,2024,0.1,4800,18.074,15.071,0.0125
DEN,2024,0.2,5653,16.81,17.033,0.01238
DEN,2024,0.3,19742,16.609,15.353,0.012
DEN,2024,0.4,43343,17.729,15.47,0.01197
DEN,2024,0.5,40501,17.476,16.113,0.01133
DEN,2024,0.6,40880,18.375,16.56,0.01274
DEN,2024,0.7,22931,19.012,13.244,0.01238
DEN,2024,0.8,21263,18.48,12.504,0.00847
DEN,2024,0.9,50135,19.063,16.181,0.01117
DEN,2024,1.0,32029,19.466,18.039,0.01346
DEN,2024,1.1,20252,19.842,15.524,0.00543
DEN,2024,1.2,3901,20.414,11.911,0.00359
DFW,2023,0.0,854,17.534,36.67,0.02693
DFW,2023,0.1,8272,16.77,10.26,0.01886
DFW,2023,0.2,4704,17.577,11.883,0.01084
DFW,2023,0.3,7128,17.952,17.76,0.02511
DFW,2023,0.4,29939,18.555,16.502,0.01069
DFW,2023,0.5,34410,18.684,19.953,0.02069
DFW,2023,0.6,40564,18.932,26.505,0.02305
DFW,2023,0.7,45648,19.423,21.196,0.01661
DFW,2023,0.8,50408,20.135,19.07,0.01264
DFW,2023,0.9,28697,20.693,13.944,0.01126
DFW,2023,1.0,19308,22.162,9.826,0.01466
DFW,2023,1.1,10919,22.788,9.211,0.00247
DFW,2023,1.2,4393,25.102,8.185,0.00228
DFW,2024,0.0,893,17.448,37.16,0.02016
DFW,2024,0.1,7063,17.462,10.673,0.00934
DFW,2024,0.2,7063,18.975,13.74,0.00963
DFW,2024,0.3,5808,18.538,20.096,0.01567
DFW,2024,0.4,17928,17.936,21.728,0.01924
DFW,2024,0.5,25598,18.549,24.475,0.02223
DFW,2024,0.6,52110,19.051,24.003,0.02351
DFW,2024,0.7,44549,19.037,26.484,0.02184
DFW,2024,0.8,39423,19.435,22.886,0.01948
DFW,2024,0.9,34762,20.1,21.375,0.01709
DFW,2024,1.0,32087,21.467,21.065,0.01767
DFW,2024,1.1,32035,22.499,14.397,0.01383
DFW,2024,1.2,9093,23.919,12.75,0.011
DFW,2024,1.3,5170,24.32,7.529,0.00193
DTW,2023,0.0,579,14.844,11.379,0.01209
DTW,2023,0.1,5999,15.949,14.144,0.01367
DTW,2023,0.2,10611,15.658,14.094,0.01065
DTW,2023,0.3,8913,16.394,16.139,0.01885
DTW,2023,0.4,10287,16.176,15.07,0.0138
DTW,2023,0.5,14281,16.453,12.672,0.01155
DTW,2023,0.6,12283,17.113,14.614,0.01498
DTW,2023,0.7,17253,16.515,14.053,0.0131
DTW,2023,0.8,14226,16.748,12.889,0.01153
DTW,2023,0.9,15878,17.721,10.872,0.00523
DTW,2023,1.0,6971,17.921,9.162,0.01004
DTW,2023,1.1,2561,17.549,8.64,0.00469
DTW,2023,1.2,5137,17.062,7.801,0.00545
DTW,2023,1.3,1093,16.759,13.181,0.02928
DTW,2024,0.0,607,15.564,18.195,0.00988
DTW,2024,0.1,7309,16.193,13.726,0.01327
DTW,2024,0.2,8745,16.644,13.786,0.01326
DTW,2024,0.3,6796,16.688,15.31,0.01545
DTW,2024,0.4,9977,17.049,20.512,0.01614
DTW,2024,0.5,10832,17.267,17.145,0.01052
DTW,2024,0.6,7234,16.741,15.378,0.00788
DTW,2024,0.7,10436,17.555,12.328,0.00517
DTW,2024,0.8,11507,18.035,13.251,0.00947
DTW,2024,0.9,14069,17.885,14.091,0.0081
DTW,2024,1.0,13967,18.009,15.772,0.0106
DTW,2024,1.1,14410,18.589,12.614,0.00701
DTW,2024,1.2,11087,19.098,11.149,0.00929
DTW,2024,1.3,2794,19.238,18.086,0.02219
DTW,2024,1.4,1485,18.464,16.086,0.00471
DTW,2024,1.5,112,16.545,9.688,0.0
EWR,2023,0.0,136,17.597,12.567,0.01471
EWR,2023,0.1,1514,18.655,21.049,0.03104
EWR,2023,0.2,2845,19.639,22.653,0.0348
EWR,2023,0.3,1155,20.003,19.302,0.01905
EWR,2023,0.4,2678,18.526,13.347,0.00971
EWR,2023,0.5,8061,22.188,19.236,0.033
EWR,2023,0.6,23866,23.786,20.063,0.03319
EWR,2023,0.7,19830,23.903,19.091,0.03354
EWR,2023,0.8,46021,24.507,19.319,0.02655
EWR,2023,0.9,21595,24.028,16.226,0.02417
EWR,2023,1.0,6151,23.41,11.223,0.01772
EWR,2023,1.1,4467,25.727,13.537,0.01366
EWR,2023,1.2,259,30.412,17.071,0.01544
EWR,2024,0.0,292,18.326,25.195,0.03425
EWR,2024,0.1,1328,19.054,24.332,0.0369
EWR,2024,0.2,1877,17.85,12.75,0.01811
EWR,2024,0.3,804,19.128,17.015,0.02114
EWR,2024,0.4,7630,20.669,15.219,0.02844
EWR,2024,0.5,13575,23.651,18.763,0.03219
EWR,2024,0.6,33999,24.933,19.262,0.02609
EWR,2024,0.7,20329,25.446,20.773,0.02494
EWR,2024,0.8,27216,24.742,16.013,0.02289
EWR,2024,0.9,16802,25.087,15.552,0.02047
EWR,2024,1.0,2929,23.349,11.746,0.02868
EWR,2024,1.1,2198,21.157,8.587,0.01865
FLL,2023,0.0,525,15.161,26.019,0.00762
FLL,2023,0.1,866,15.202,22.724,0.01732
FLL,2023,0.2,1525,15.368,23.129,0.01967
FLL,2023,0.3,6036,17.125,27.759,0.02386
FLL,2023,0.4,7979,17.616,23.262,0.01529
FLL,2023,0.5,12876,18.212,22.647,0.01623
FLL,2023,0.6,22819,18.125,25.503,0.02082
FLL,2023,0.7,11237,18.164,26.03,0.01397
FLL,2023,0.8,7836,18.638,28.261,0.01787
FLL,2023,0.9,8811,17.423,23.159,0.02247
FLL,2023,1.0,4354,17.824,27.039,0.01148
FLL,2023,1.1,2795,16.973,24.386,0.02934
FLL,2023,1.2,1565,18.461,23.469,0.01214
FLL,2023,1.3,611,17.542,20.7,0.00327
FLL,2024,0.0,571,14.772,14.292,0.01751
FLL,2024,0.1,1263,14.841,16.647,0.01188
FLL,2024,0.2,1464,15.69,22.081,0.01913
FLL,2024,0.3,4987,17.453,18.082,0.01765
FLL,2024,0.4,7907,17.824,22.479,0.01986
FLL,2024,0.5,12194,17.928,20.028,0.01681
FLL,2024,0.6,18881,18.021,21.592,0.01917
FLL,2024,0.7,11277,17.546,20.021,0.0125
FLL,2024,0.8,9320,17.154,18.763,0.01298
FLL,2024,0.9,10341,17.463,20.187,0.01644
FLL,2024,1.0,6324,17.442,20.096,0.01676
FLL,2024,1.1,4788,17.542,16.628,0.01546
FLL,2024,1.2,2150,17.372,14.184,0.00884
FLL,2024,1.3,423,20.033,23.138,0.00709
IAH,2023,0.0,670,15.355,21.709,0.00448
IAH,2023,0.1,4183,15.774,19.013,0.00908
IAH,2023,0.2,7979,16.475,16.292,0.01216
IAH,2023,0.3,10744,16.794,16.696,0.01257
IAH,2023,0.4,5448,18.732,16.086,0.0101
IAH,2023,0.5,7177,18.889,17.796,0.00738
IAH,2023,0.6,11796,19.499,19.823,0.01246
IAH,2023,0.7,14253,19.082,15.367,0.00905
IAH,2023,0.8,18886,19.741,16.577,0.00805
IAH,2023,0.9,13387,20.289,17.562,0.01023
IAH,2023,1.0,2771,20.903,20.863,0.02526
IAH,2023,1.1,4180,21.124,28.853,0.01483
IAH,2023,1.2,4686,20.334,26.512,0.02091
IAH,2023,1.3,5638,21.451,16.24,0.00408
IAH,2023,1.4,94,27.333,11.925,0.01064
IAH,2024,0.0,643,16.362,23.554,0.02022
IAH,2024,0.1,3225,16.815,20.664,0.01488
IAH,2024,0.2,8943,16.76,18.388,0.01621
IAH,2024,0.3,15770,17.834,18.032,0.01845
IAH,2024,0.4,7739,18.623,21.301,0.02481
IAH,2024,0.5,4570,19.397,23.756,0.02823
IAH,2024,0.6,7360,20.169,23.175,0.02486
IAH,2024,0.7,11484,20.555,19.31,0.01942
IAH,2024,0.8,15250,20.629,17.557,0.01862
IAH,2024,0.9,17180,20.659,22.278,0.02439
IAH,2024,1.0,6294,21.297,17.269,0.01541
IAH,2024,1.1,5918,20.921,18.011,0.01132
IAH,2024,1.2,8255,21.324,23.963,0.01757
IAH,2024,1.3,3121,20.774,36.628,0.03781
IAH,2024,1.4,188,21.41,21.463,0.0
JFK,2023,0.0,551,18.85,18.026,0.02178
JFK,2023,0.1,579,18.636,11.357,0.01382
JFK,2023,0.2,400,24.546,33.807,0.0425
JFK,2023,0.3,1422,27.927,30.688,0.07525
JFK,2023,0.4,9627,24.113,18.622,0.01953
JFK,2023,0.5,18186,25.175,18.153,0.02337
JFK,2023,0.6,28481,27.191,21.858,0.02862
JFK,2023,0.7,20359,26.997,21.368,0.02927
JFK,2023,0.8,26928,27.165,18.624,0.0199
JFK,2023,0.9,12332,25.612,15.072,0.01346
JFK,2023,1.0,7789,25.209,13.636,0.01322
JFK,2023,1.1,6394,25.175,11.243,0.01282
JFK,2024,0.0,586,21.365,10.363,0.03242
JFK,2024,0.1,520,20.517,14.089,0.00962
JFK,2024,0.2,1765,24.392,18.167,0.02323
JFK,2024,0.3,3485,26.085,18.64,0.03271
JFK,2024,0.4,10486,24.131,15.455,0.01564
JFK,2024,0.5,23042,26.745,19.676,0.02426
JFK,2024,0.6,28398,27.563,18.166,0.02074
JFK,2024,0.7,14486,24.658,14.408,0.0147
JFK,2024,0.8,20700,26.888,15.816,0.01889
JFK,2024,0.9,11173,25.772,11.982,0.01146
JFK,2024,1.0,5893,27.129,10.939,0.01018
JFK,2024,1.1,2814,26.697,7.025,0.00355
LAS,2023,0.0,749,13.189,26.383,0.01602
LAS,2023,0.1,1512,14.379,15.234,0.00926
LAS,2023,0.2,2131,14.421,16.147,0.01173
LAS,2023,0.3,3301,14.177,15.163,0.00666
LAS,2023,0.4,11433,15.007,18.685,0.01496
LAS,2023,0.5,18367,15.649,20.417,0.01459
LAS,2023,0.6,28894,17.312,20.517,0.01319
LAS,2023,0.7,40969,18.615,18.973,0.01274
LAS,2023,0.8,44587,20.172,16.558,0.01083
LAS,2023,0.9,25456,20.378,15.995,0.01131
LAS,2023,1.0,8018,20.232,10.994,0.00611
LAS,2023,1.1,4280,19.683,7.51,0.00491
LAS,2023,1.2,1130,20.181,6.048,0.00265
LAS,2023,1.3,50,16.959,14.122,0.02
LAS,2024,0.0,772,13.705,11.796,0.00907
LAS,2024,0.1,2294,14.274,9.071,0.00349
LAS,2024,0.2,3672,14.421,14.528,0.01089
LAS,2024,0.3,4482,14.497,12.486,0.01093
LAS,2024,0.4,9475,15.323,13.649,0.0076
LAS,2024,0.5,15781,15.949,17.399,0.00944
LAS,2024,0.6,26387,17.287,19.11,0.01019
LAS,2024,0.7,38711,18.037,18.039,0.0092
LAS,2024,0.8,38586,19.111,16.654,0.00868
LAS,2024,0.9,26139,19.265,13.605,0.00689
LAS,2024,1.0,10891,19.487,11.865,0.01203
LAS,2024,1.1,8118,19.35,9.331,0.00542
LAS,2024,1.2,2820,19.323,5.73,0.00957
LAS,2024,1.3,1124,20.267,4.711,0.00267
LAX,2023,0.0,1285,16.343,21.742,0.01556
LAX,2023,0.1,743,17.177,12.828,0.00404
LAX,2023,0.2,3061,15.675,8.062,0.00882
LAX,2023,0.3,7680,16.498,12.272,0.00885
LAX,2023,0.4,23977,16.718,16.906,0.00792
LAX,2023,0.5,35103,16.951,16.034,0.00994
LAX,2023,0.6,36348,17.044,13.483,0.00699
LAX,2023,0.7,36347,17.311,15.202,0.00913
LAX,2023,0.8,15919,18.386,13.97,0.00867
LAX,2023,0.9,12910,19.466,11.885,0.00418
LAX,2023,1.0,3475,19.813,10.266,0.00403
LAX,2023,1.1,5898,20.315,8.987,0.00661
LAX,2023,1.2,10374,20.269,9.878,0.00781
LAX,2023,1.3,1233,21.156,10.847,0.00324
LAX,2024,0.0,964,16.011,21.784,0.01763
LAX,2024,0.1,1740,16.681,10.421,0.01552
LAX,2024,0.2,3803,16.516,8.615,0.0121
LAX,2024,0.3,5931,17.208,11.427,0.00641
LAX,2024,0.4,22048,17.674,13.814,0.0078
LAX,2024,0.5,33244,18.005,15.02,0.00914
LAX,2024,0.6,42088,18.178,14.691,0.00682
LAX,2024,0.7,39881,18.765,13.482,0.00938
LAX,2024,0.8,10392,19.593,13.733,0.00664
LAX,2024,0.9,9559,20.402,13.189,0.00701
LAX,2024,1.0,10228,20.32,10.61,0.00753
LAX,2024,1.1,6508,20.677,9.876,0.00507
LAX,2024,1.2,4898,21.913,11.449,0.00715
LAX,2024,1.3,2330,22.315,13.008,0.01373
LAX,2024,1.4,439,25.046,9.718,0.00683
LGA,2023,0.0,1313,17.145,22.528,0.04722
LGA,2023,0.1,920,16.656,21.927,0.04674
LGA,2023,0.2,409,17.841,18.319,0.0489
LGA,2023,0.3,1249,17.598,15.885,0.01201
LGA,2023,0.4,5515,18.509,12.971,0.01958
LGA,2023,0.5,9063,19.671,14.27,0.03862
LGA,2023,0.6,12098,21.167,14.876,0.02066
LGA,2023,0.7,18107,24.957,16.111,0.03496
LGA,2023,0.8,65492,24.515,15.56,0.02642
LGA,2023,0.9,38203,24.838,14.525,0.02662
LGA,2023,1.0,8557,22.697,8.73,0.02279
LGA,2023,1.1,2800,21.356,6.276,0.02286
LGA,2024,0.0,1207,16.93,22.834,0.03397
LGA,2024,0.1,1000,16.695,27.96,0.032
LGA,2024,0.2,368,16.941,26.607,0.03804
LGA,2024,0.3,1409,17.599,15.265,0.00639
LGA,2024,0.4,4507,19.059,12.863,0.02241
LGA,2024,0.5,9974,20.591,14.773,0.02857
LGA,2024,0.6,10471,21.052,13.589,0.01576
LGA,2024,0.7,30116,23.571,15.914,0.02258
LGA,2024,0.8,68117,24.876,16.269,0.02644
LGA,2024,0.9,27759,23.748,11.911,0.01927
LGA,2024,1.0,7504,22.231,9.145,0.02439
MCO,2023,0.0,496,15.864,33.839,0.01008
MCO,2023,0.1,1175,15.394,24.69,0.01532
MCO,2023,0.2,2352,15.425,17.617,0.0102
MCO,2023,0.3,2799,15.846,22.372,0.01215
MCO,2023,0.4,5306,18.013,32.061,0.01847
MCO,2023,0.5,18899,18.48,26.917,0.01624
MCO,2023,0.6,25232,18.669,24.448,0.01324
MCO,2023,0.7,30839,19.199,25.262,0.01446
MCO,2023,0.8,36945,19.425,22.763,0.01223
MCO,2023,0.9,24143,18.529,15.388,0.01056
MCO,2023,1.0,12125,19.636,12.282,0.01122
MCO,2023,1.1,4015,19.556,8.951,0.00747
MCO,2023,1.2,43,23.535,2.093,0.0
MCO,2024,0.0,542,14.815,13.109,0.02214
MCO,2024,0.1,1648,14.848,15.988,0.01153
MCO,2024,0.2,2736,15.369,24.399,0.02522
MCO,2024,0.3,2631,15.937,16.356,0.01634
MCO,2024,0.4,7553,16.923,17.904,0.01986
MCO,2024,0.5,18030,17.764,18.256,0.02085
MCO,2024,0.6,22156,18.905,21.701,0.0172
MCO,2024,0.7,27404,18.587,20.752,0.02043
MCO,2024,0.8,39151,18.614,20.111,0.01836
MCO,2024,0.9,23617,18.807,16.137,0.01732
MCO,2024,1.0,10385,19.199,11.994,0.01156
MCO,2024,1.1,3610,19.146,9.503,0.0144
MCO,2024,1.2,90,17.2,10.944,0.0
MDW,2023,0.0,212,14.867,37.652,0.00943
MDW,2023,0.1,310,13.948,12.705,0.00645
MDW,2023,0.2,2189,13.198,11.561,0.01005
MDW,2023,0.3,3661,13.183,13.052,0.01256
MDW,2023,0.4,9152,13.061,14.214,0.01573
MDW,2023,0.5,13573,13.206,15.674,0.01076
MDW,2023,0.6,12088,13.749,14.287,0.0134
MDW,2023,0.7,13427,13.878,16.354,0.01154
MDW,2023,0.8,10808,13.658,16.325,0.01138
MDW,2023,0.9,12064,14.603,17.656,0.02155
MDW,2023,1.0,4166,14.501,15.993,0.01104
